room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4326694,12130867,Entire home/apt,,Eastern Suburbs,3,4.5,2,1.0,166.0,2.0,-33.890468,151.272299,2015-01-20 12:09:28.741
4326790,4335705,Entire home/apt,,Eastern Suburbs,1,2.0,4,2.0,349.0,1.0,-33.896936,151.271972,2015-02-16 08:35:39.063
4327191,22469877,Entire home/apt,,Inner Sydney,0,,2,1.0,152.0,3.0,-33.888561,151.214564,2015-01-20 11:45:58.998
4327208,5247244,Entire home/apt,,Inner Sydney,0,,4,1.0,111.0,5.0,-33.888495,151.153535,2015-01-20 12:12:51.781
4327553,787108,Entire home/apt,,Inner Sydney,4,5.0,2,1.0,163.0,3.0,-33.876876,151.213441,2015-01-20 14:37:54.309
4327753,22471917,Private room,,Inner Sydney,0,,1,1.0,243.0,1.0,-33.89725,151.169833,2015-01-20 13:05:15.158
4327861,22472645,Entire home/apt,,Eastern Suburbs,0,,4,3.0,398.0,5.0,-33.908931,151.263403,2015-02-16 12:17:30.467
4327991,22473298,Entire home/apt,,Eastern Suburbs,1,5.0,3,1.0,101.0,15.0,-33.891782,151.251435,2015-01-20 12:36:27.206
4328348,4884677,Entire home/apt,,Inner Sydney,1,5.0,2,1.0,139.0,2.0,-33.896571,151.199379,2015-02-16 10:32:09.648
4329329,22431923,Entire home/apt,,Inner Sydney,1,,2,0.0,103.0,1.0,-33.879075,151.214297,2015-01-20 14:10:43.921
4330235,18307329,Private room,,Canterbury-Bankstown,0,,6,1.0,73.0,7.0,-33.912951,151.101584,2015-02-16 17:37:44.115
4332316,22493846,Entire home/apt,,Inner Sydney,2,4.0,8,3.0,294.0,1.0,-33.886328,151.226292,2015-01-20 11:55:13.231
4333613,2126215,Entire home/apt,,Northern Beaches,2,5.0,4,2.0,279.0,6.0,-33.799417,151.279261,2015-01-20 12:21:02.168
4333900,22502148,Entire home/apt,,Inner Sydney,0,,2,0.0,122.0,7.0,-33.891123,151.214886,2015-01-20 13:10:29.359
4334493,22505547,Private room,,Inner Sydney,4,4.5,2,1.0,68.0,1.0,-33.898111,151.17414,2015-02-16 10:36:50.251
4334568,20013315,Entire home/apt,,St George-Sutherland,0,,2,1.0,159.0,1.0,-33.928155,151.153798,2015-02-16 16:07:41.667
4334852,7409213,Entire home/apt,,Eastern Suburbs,1,4.0,6,2.0,385.0,3.0,-33.913551,151.253637,2015-01-20 11:18:02.191
4334888,3094062,Entire home/apt,,Inner Sydney,3,4.5,2,1.0,152.0,2.0,-33.894846,151.186967,2015-01-20 12:13:05.602
4335095,7409213,Entire home/apt,,Eastern Suburbs,0,,6,3.0,578.0,3.0,-33.904103,151.254662,2015-02-16 17:19:10.962
4335107,7409213,Entire home/apt,,Eastern Suburbs,1,5.0,4,2.0,375.0,5.0,-33.889623,151.281074,2015-01-20 11:16:26.900
4335171,7409213,Entire home/apt,,Eastern Suburbs,1,5.0,4,2.0,425.0,3.0,-33.92616,151.253921,2015-01-20 12:55:25.101
4335351,22510651,Entire home/apt,,Eastern Suburbs,0,,3,3.0,249.0,7.0,-33.906242,151.233388,2015-02-16 17:19:13.189
4336069,7409213,Entire home/apt,,Eastern Suburbs,0,,10,4.0,489.0,5.0,-33.847564,151.283733,2015-02-16 13:29:26.415
4336592,21697907,Entire home/apt,,Eastern Suburbs,0,,7,5.0,647.0,7.0,-33.898991,151.268514,2015-02-16 14:19:58.164
4336753,22517251,Entire home/apt,,Eastern Suburbs,1,5.0,4,2.0,171.0,5.0,-33.88291,151.279529,2015-01-20 14:11:04.570
4336775,20955691,Entire home/apt,,Northern Beaches,2,4.0,3,2.0,120.0,1.0,-33.803802,151.289136,2015-02-16 09:06:12.238
4336822,6514595,Entire home/apt,,Inner Sydney,5,4.0,3,2.0,184.0,3.0,-33.873168,151.226953,2015-02-16 12:22:50.982
4337178,22471647,Entire home/apt,,Inner Western Sydney,0,,2,1.0,182.0,1.0,-33.870663,151.093307,2015-01-20 11:51:33.848
4337255,7619523,Entire home/apt,,Inner Sydney,1,4.0,2,0.0,127.0,7.0,-33.873568,151.225233,2015-01-20 13:54:58.161
4337344,22519712,Entire home/apt,,Eastern Suburbs,5,4.0,5,3.0,249.0,2.0,-33.881416,151.238989,2015-02-16 13:06:12.386
4337760,21153115,Private room,,Lower Northern Sydney,0,,2,1.0,81.0,1.0,-33.809776,151.199432,2015-01-20 13:42:19.850
4341711,699784,Private room,,Inner Sydney,14,4.0,2,1.0,95.0,1.0,-33.884697,151.209118,2015-02-16 14:16:09.988
4342231,20397424,Entire home/apt,,Inner Sydney,14,4.0,4,2.0,154.0,3.0,-33.873803,151.204983,2015-02-16 14:49:03.593
4342313,20397424,Private room,,Inner Sydney,0,,1,1.0,49.0,1.0,-33.897355,151.205416,2015-01-20 12:14:36.864
4342459,308479,Entire home/apt,,Eastern Suburbs,1,,3,1.0,184.0,14.0,-33.892584,151.272156,2015-02-16 12:46:05.845
4342571,22544419,Entire home/apt,,Northern Beaches,0,,6,3.0,1317.0,7.0,-33.60207,151.327385,2015-01-20 12:17:07.485
4342679,22544947,Entire home/apt,,Northern Beaches,1,5.0,7,4.0,448.0,21.0,-33.630444,151.328837,2015-02-16 10:12:15.577
4343128,9838364,Private room,,Inner Sydney,0,,2,1.0,142.0,7.0,-33.901091,151.181753,2015-01-20 13:30:16.796
4343141,22547378,Entire home/apt,,Eastern Suburbs,0,,2,1.0,284.0,1.0,-33.89752,151.268707,2015-01-20 13:51:06.360
4343296,13517647,Shared room,,Northern Beaches,0,,2,1.0,101.0,12.0,-33.796891,151.285419,2015-01-20 11:12:02.771
4343446,22546547,Entire home/apt,,Eastern Suburbs,2,4.5,4,2.0,299.0,3.0,-33.888656,151.265961,2015-02-16 10:08:44.266
4343533,22549626,Entire home/apt,,Eastern Suburbs,1,5.0,4,2.0,234.0,5.0,-33.889224,151.232926,2015-02-16 16:32:48.915
4343898,15777988,Private room,,Inner Sydney,0,,2,1.0,86.0,2.0,-33.874944,151.224132,2015-01-20 13:33:03.780
4343966,21803124,Entire home/apt,,Northern Beaches,0,,2,1.0,148.0,5.0,-33.791349,151.285636,2015-02-16 10:41:43.963
4344052,22552810,Entire home/apt,,Lower Northern Sydney,0,,6,3.0,497.0,7.0,-33.81914,151.172892,2015-02-16 17:04:07.368
4344269,21752915,Entire home/apt,,Eastern Suburbs,1,,2,1.0,129.0,10.0,-33.881573,151.238448,2015-02-16 14:07:55.261
4344478,22553304,Entire home/apt,,Eastern Suburbs,2,4.5,4,1.0,172.0,2.0,-33.889318,151.27464,2015-02-16 10:41:52.404
4344833,22556547,Private room,,Eastern Suburbs,0,,2,1.0,122.0,1.0,-33.87881,151.240245,2015-01-20 11:13:35.623
4344909,22556904,Private room,,Inner Sydney,1,5.0,2,1.0,41.0,7.0,-33.902999,151.176649,2015-01-20 13:12:09.426
4345189,10325101,Entire home/apt,,Eastern Suburbs,0,,13,8.0,2280.0,7.0,-33.912183,151.267979,2015-01-20 13:51:16.559
4345436,22559139,Private room,,Northern Beaches,1,5.0,2,1.0,122.0,1.0,-33.786402,151.249429,2015-01-20 13:36:18.421
4345521,18030880,Entire home/apt,,Eastern Suburbs,0,,2,1.0,154.0,2.0,-33.878754,151.24637,2015-02-16 12:02:50.965
4350709,14908334,Private room,,Eastern Suburbs,4,5.0,2,1.0,90.0,1.0,-33.928418,151.255461,2015-02-16 17:09:26.678
4350876,16559907,Entire home/apt,,Lower Northern Sydney,0,,2,1.0,159.0,10.0,-33.844863,151.211491,2015-02-16 10:33:38.435
4350949,11498163,Entire home/apt,,Northern Beaches,0,,3,1.0,159.0,14.0,-33.80328,151.284893,2015-02-16 15:55:02.196
4351449,11720924,Private room,,Eastern Suburbs,2,4.0,2,1.0,40.0,1.0,-33.922127,151.236856,2015-02-16 14:59:07.715
4351453,17702237,Private room,,Inner Sydney,14,4.5,2,1.0,110.0,2.0,-33.884482,151.214095,2015-02-16 15:17:58.821
4351519,22588684,Private room,,Eastern Suburbs,6,5.0,2,1.0,86.0,1.0,-33.885152,151.270692,2015-01-20 11:59:33.917
4351739,11984140,Entire home/apt,,Inner Sydney,2,5.0,4,2.0,299.0,2.0,-33.892619,151.198629,2015-02-16 17:38:42.253
4351938,11745659,Entire home/apt,,Inner Sydney,3,5.0,2,1.0,110.0,1.0,-33.896404,151.196398,2015-02-16 13:16:07.674
4352001,10335495,Entire home/apt,,Northern Beaches,0,,10,4.0,1013.0,7.0,-33.796296,151.281372,2015-01-20 11:13:45.349
4352094,1882932,Entire home/apt,,Eastern Suburbs,1,5.0,2,1.0,152.0,1.0,-33.871988,151.266933,2015-01-20 13:39:41.978
4352152,22592817,Private room,,Lower Northern Sydney,1,4.0,1,1.0,99.0,1.0,-33.836119,151.195666,2015-02-16 10:16:41.402
4352211,7048033,Private room,,Inner Sydney,4,3.5,2,1.0,45.0,2.0,-33.913599,151.150985,2015-02-16 14:33:50.399
4352322,1115118,Private room,,Inner Sydney,0,,2,1.0,122.0,1.0,-33.890365,151.215063,2015-01-20 12:54:52.516
4352336,17693173,Entire home/apt,,Inner Sydney,1,4.0,2,1.0,116.0,7.0,-33.874279,151.223256,2015-01-20 13:17:09.253
4352547,22594224,Entire home/apt,,Inner Sydney,0,,6,1.0,203.0,1.0,-33.860943,151.167924,2015-01-20 12:05:47.304
4352813,4809065,Private room,,Inner Sydney,11,5.0,1,1.0,86.0,1.0,-33.890584,151.199794,2015-01-20 12:21:27.194
4353183,1666464,Entire home/apt,,Eastern Suburbs,1,4.0,5,2.0,194.0,5.0,-33.925113,151.256525,2015-02-16 10:46:32.401
4353800,6827321,Private room,,Eastern Suburbs,2,4.5,2,1.0,79.0,1.0,-33.889298,151.260983,2015-01-20 11:24:26.241
4355656,12816701,Entire home/apt,,St George-Sutherland,9,5.0,2,1.0,122.0,1.0,-33.941284,151.136952,2015-01-20 13:04:22.781
4357840,6260024,Entire home/apt,,Eastern Suburbs,0,,6,3.0,478.0,3.0,-33.912173,151.262195,2015-02-16 14:21:23.786
4358723,4298915,Entire home/apt,,Eastern Suburbs,1,,6,3.0,296.0,3.0,-33.890467,151.255063,2015-01-20 12:56:20.350
