Year,Value
192703,-0.2595
192704,-0.2212
192705,-0.2312
192706,-0.2045
192707,-0.1068
192708,-0.1171
192709,-0.03
192710,0.0129
192711,-0.0434
192712,-0.3138
192801,-0.0811
192802,-0.1472
192803,-0.2663
192804,-0.2458
192805,-0.187
192806,-0.2803
192807,-0.1797
192808,-0.2018
192809,-0.1916
192810,-0.1245
192811,-0.0694
192812,-0.1722
192901,-0.486
192902,-0.5498
192903,-0.2675
192904,-0.2992
192905,-0.2902
192906,-0.2788
192907,-0.2784
192908,-0.2142
192909,-0.2158
192910,-0.1219
192911,-0.1027
192912,-0.5212
193001,-0.3297
193002,-0.2058
193003,-0.0621
193004,-0.1975
193005,-0.2017
193006,-0.1179
193007,-0.0736
193008,-0.0941
193009,-0.1095
193010,-0.0039
193011,0.1331
193012,0.0005
193101,-0.0505
193102,-0.2263
193103,-0.0117
193104,-0.1657
193105,-0.1565
193106,-0.0249
193107,-0.0233
193108,-0.0025
193109,-0.003
193110,0.0035
193111,-0.1192
193112,-0.1094
193201,0.1472
193202,-0.1877
193203,-0.1876
193204,-0.0409
193205,-0.1734
193206,-0.1668
193207,-0.1288
193208,-0.1833
193209,-0.0779
193210,-0.0966
193211,-0.2032
193212,-0.1914
193301,-0.3124
193302,-0.3196
193303,-0.2535
193304,-0.2092
193305,-0.2155
193306,-0.2081
193307,-0.1882
193308,-0.1929
193309,-0.2274
193310,-0.193
193311,-0.2608
193312,-0.4148
193401,-0.3176
193402,-0.0293
193403,-0.2657
193404,-0.2406
193405,-0.0503
193406,-0.0126
193407,-0.0973
193408,-0.0601
193409,-0.1288
193410,-0.073
193411,0.0095
193412,-0.031
193501,-0.2937
193502,0.161
193503,-0.1534
193504,-0.2609
193505,-0.2084
193506,-0.1754
193507,-0.1205
193508,-0.1028
193509,-0.0961
193510,-0.0168
193511,-0.2735
193512,-0.179
193601,-0.2587
193602,-0.3165
193603,-0.2151
193604,-0.1823
193605,-0.123
193606,-0.1129
193607,-0.0187
193608,-0.0637
193609,-0.0448
